계약면적(㎡),보증금(만원),월세금(만원),건축년도,계약기간,도로조건_-,도로조건_12m미만,도로조건_25m미만,도로조건_25m이상,도로조건_8m미만
18.18,300,36,1997.0,12.0,0,1,0,0,0
21.0,200,30,1997.0,12.0,0,0,0,0,1
22.0,300,40,2001.0,12.0,0,1,0,0,0
20.0,200,30,2001.0,12.0,0,0,0,0,1
22.0,200,32,1993.0,12.0,0,1,0,0,0
20.0,200,30,2002.0,12.0,0,1,0,0,0
19.0,300,41,1997.0,11.0,0,1,0,0,0
17.0,300,45,1995.0,12.0,0,1,0,0,0
28.0,300,32,2002.0,12.0,0,0,1,0,0
22.59,300,45,2008.0,12.0,0,1,0,0,0
18.0,300,39,2002.0,12.0,0,0,0,0,1
23.0,300,37,2001.0,12.0,0,1,0,0,0
16.52,300,44,1997.0,6.0,0,1,0,0,0
20.0,300,32,1994.0,12.0,0,1,0,0,0
27.73,1000,40,2019.0,12.0,0,0,0,0,1
30.0,300,33,2014.0,12.0,0,0,0,0,1
18.0,300,47,2002.0,12.0,0,1,0,0,0
18.22,300,45,2014.0,11.0,0,0,0,0,1
20.0,50,40,2009.0,24.0,0,0,0,0,1
18.0,500,40,2015.0,12.0,0,0,0,0,1
22.19,100,24,2014.0,6.0,0,0,0,0,1
20.0,500,61,1993.0,12.0,0,1,0,0,0
20.0,500,61,1993.0,12.0,0,1,0,0,0
29.04,300,45,2019.0,11.0,0,0,0,0,1
30.0,500,90,2017.0,12.0,0,0,0,0,1
45.98,500,70,2016.0,11.0,0,0,0,0,1
48.0,1000,50,1974.0,12.0,0,0,0,0,1
15.0,300,35,1991.0,12.0,0,1,0,0,0
26.0,200,40,2002.0,11.0,0,0,0,0,1
28.0,300,40,2000.0,12.0,0,1,0,0,0
24.0,300,40,2003.0,12.0,0,0,0,0,1
25.0,300,40,2001.0,12.0,0,1,0,0,0
21.0,300,45,1997.0,12.0,0,1,0,0,0
26.94,500,56,2018.0,12.0,0,0,0,0,1
25.0,300,50,1997.0,11.0,0,1,0,0,0
25.0,300,40,2001.0,12.0,0,1,0,0,0
50.0,200,34,2002.0,6.0,0,0,0,0,1
15.0,300,40,2019.0,12.0,0,1,0,0,0
28.0,300,40,2002.0,12.0,0,1,0,0,0
28.0,300,42,2002.0,12.0,0,1,0,0,0
20.0,500,45,2017.0,12.0,0,0,0,0,1
20.0,300,40,2001.0,12.0,0,1,0,0,0
18.0,300,37,2015.0,12.0,0,0,0,0,1
20.0,300,43,2002.0,11.0,0,0,0,0,1
20.0,500,48,2002.0,12.0,0,1,0,0,0
16.22,300,41,2002.0,12.0,0,1,0,0,0
15.0,200,45,2002.0,12.0,0,1,0,0,0
15.0,300,50,2001.0,12.0,0,1,0,0,0
19.0,300,37,1996.0,12.0,0,0,0,0,1
23.0,300,55,2002.0,12.0,0,1,0,0,0
18.0,300,38,2002.0,12.0,0,0,0,0,1
20.0,1000,30,1996.0,12.0,0,1,0,0,0
29.75,500,55,1998.0,12.0,0,0,0,0,1
17.65,300,41,2012.0,12.0,0,1,0,0,0
20.0,100,30,2002.0,12.0,0,0,0,0,1
40.0,500,50,1994.0,24.0,0,0,1,0,0
17.0,200,29,1996.0,12.0,0,1,0,0,0
20.0,300,40,1997.0,12.0,0,1,0,0,0
23.0,100,30,2001.0,12.0,0,0,0,0,1
17.0,300,35,2018.0,12.0,0,0,0,0,1
18.2,300,47,2018.0,11.0,0,1,0,0,0
15.0,300,32,1997.0,12.0,0,1,0,0,0
35.0,500,75,1992.0,12.0,0,1,0,0,0
19.22,300,30,2002.0,12.0,0,1,0,0,0
20.0,300,30,2001.0,12.0,0,1,0,0,0
21.45,500,53,2002.0,12.0,0,1,0,0,0
49.02,500,45,1980.0,24.0,0,0,1,0,0
50.0,1000,20,1995.0,24.0,0,0,0,0,1
20.0,300,42,2002.0,11.0,0,1,0,0,0
40.0,500,70,2019.0,12.0,0,0,0,0,1
15.0,300,40,1993.0,12.0,0,0,0,0,1
15.0,300,35,2016.0,12.0,0,0,0,0,1
15.0,300,33,2002.0,11.0,0,1,0,0,0
20.0,300,34,2015.0,12.0,0,0,0,0,1
23.1,300,40,1984.0,12.0,0,0,0,0,1
21.0,300,37,1997.0,12.0,0,1,0,0,0
20.21,500,35,2017.0,12.0,0,1,0,0,0
23.0,300,55,2002.0,12.0,0,1,0,0,0
42.0,500,45,2008.0,12.0,0,0,0,0,1
24.0,300,34,2010.0,24.0,0,0,0,0,1
20.0,300,42,2003.0,12.0,0,1,0,0,0
20.0,500,45,2017.0,12.0,0,0,0,0,1
24.0,200,42,2002.0,12.0,0,1,0,0,0
20.0,100,20,1977.0,24.0,0,0,0,0,1
20.0,500,33,2001.0,24.0,0,1,0,0,0
22.0,300,51,2017.0,12.0,0,0,0,1,0
20.0,300,40,2002.0,12.0,0,0,0,0,1
16.0,250,30,2017.0,12.0,0,1,0,0,0
16.0,250,30,2017.0,12.0,0,1,0,0,0
20.0,500,57,2002.0,12.0,0,1,0,0,0
22.0,300,60,1995.0,12.0,0,1,0,0,0
40.0,300,46,2016.0,12.0,0,0,0,0,1
24.0,200,30,2003.0,12.0,0,0,1,0,0
