NO,시군구,번지,도로조건,계약면적(㎡),전월세구분,계약년월,계약일,보증금(만원),월세금(만원),건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원),주택유형
42,인천광역시 미추홀구 용현동,4*,8m미만,26.0,월세,202602,27,200,44,1993.0,한나루로463번길,202603~202701,신규,-,,,단독다가구
43,인천광역시 미추홀구 용현동,8*,8m미만,15.0,월세,202602,27,100,29,2009.0,인하로120번길,202603~202702,신규,-,,,단독다가구
44,인천광역시 미추홀구 용현동,6**,8m미만,22.0,월세,202602,26,300,40,2015.0,낙섬서로18번길,202602~202702,신규,-,,,단독다가구
45,인천광역시 미추홀구 용현동,6**,8m미만,32.04,월세,202602,26,300,40,1999.0,토금남로27번길,202602~202702,신규,-,,,단독다가구
46,인천광역시 미추홀구 용현동,5**,8m미만,29.7,월세,202602,26,300,45,2019.0,낙섬중로,202602~202802,신규,-,,,단독다가구
47,인천광역시 미추홀구 용현동,3*,12m미만,18.18,월세,202602,25,300,37,1997.0,인하로163번길,202603~202702,신규,-,,,단독다가구
48,인천광역시 미추홀구 용현동,4*,8m미만,20.0,월세,202602,25,300,50,2019.0,한나루로457번길,202603~202703,신규,-,,,단독다가구
49,인천광역시 미추홀구 용현동,8*,8m미만,25.0,월세,202602,25,200,50,2002.0,재넘이길,202603~202702,신규,-,,,단독다가구
50,인천광역시 미추홀구 용현동,8*,8m미만,26.0,월세,202602,25,300,47,2002.0,재넘이길,202602~202702,신규,-,,,단독다가구
51,인천광역시 미추홀구 용현동,4*,8m미만,28.7,월세,202602,24,300,50,2019.0,한나루로457번길,202602~202606,신규,-,,,단독다가구
52,인천광역시 미추홀구 용현동,5**,12m미만,40.0,월세,202602,24,500,53,1998.0,능해길46번길,202603~202803,신규,-,,,단독다가구
53,인천광역시 미추홀구 용현동,8*,8m미만,20.0,월세,202602,23,300,40,2002.0,재넘이길,202602~202702,신규,-,,,단독다가구
54,인천광역시 미추홀구 용현동,6**,8m미만,49.26,월세,202602,23,500,40,1980.0,낙섬중로59번길,202603~202803,신규,-,,,단독다가구
55,인천광역시 미추홀구 용현동,6**,8m미만,17.0,월세,202602,22,500,40,2021.0,낙섬중로67번길,202602~202702,신규,-,,,단독다가구
56,인천광역시 미추홀구 용현동,1**,8m미만,23.0,월세,202602,22,300,35,2002.0,인하로67번길,202602~202702,신규,-,,,단독다가구
